planet,texture file,radius,relative distance,color,has ring,orbit time (days),rotation time (minutes)
Mercury,textures/8k_mercury.jpg,2439.7,1,#FF6347,False,88,84450
Venus,textures/8k_venus_surface.jpg,6051.8,2,#FFA500,False,225,168120
Earth,textures/8k_earth_daymap.jpg,6371,2.5,#4169E1,False,365,1440
Mars,textures/8k_mars.jpg,3389.5,4,#B22222,False,687,1477
Jupiter,textures/8k_jupiter.jpg,69911,13,#8B4513,False,6380,596
Uranus,textures/2k_uranus.jpg,25362,49,#5F9EA0,False,30660,1034
Neptune,textures/2k_neptune.jpg,24662,76,#0000CD,False,60225,966
Pluto,textures/8k_moon.jpg,1188.3,90,#FFE4E1,False,90520,9216
Ceres,textures/4k_ceres_fictional.jpg,1100,7.9,#FFE4E1,False,1682,540
Saturn,textures/8k_saturn.jpg,58232,24,#A0522D,True,10585,642
