planet,name,gm,radius,density,magnitude,albedo
Earth,Moon,4902.801,1737.5,3.344,-12.74,0.12
Mars,Phobos,0.0007112,11.1,1.872,11.4,0.071
Mars,Deimos,0.0000985,6.2,1.471,12.45,0.068
Jupiter,Io,5959.916,1821.6,3.528,5.02,0.63
Jupiter,Europa,3202.739,1560.8,3.013,5.29,0.67
Jupiter,Ganymede,9887.834,2631.2,1.942,4.61,0.43
Jupiter,Callisto,7179.289,2410.3,1.834,5.65,0.17
Jupiter,Amalthea,0.138,83.45,0.849,14.1,0.090
Jupiter,Himalia,0.45,85,2.6,14.2R,0.04
Jupiter,Elara,0.058,43,2.6,16.0R,0.04
Jupiter,Pasiphae,0.020,30,2.6,16.8R,0.04
Jupiter,Sinope,0.0050,19,2.6,18.2R,0.04
Jupiter,Lysithea,0.0042,18,2.6,18.1R,0.04
Jupiter,Carme,0.0088,23,2.6,18.1R,0.04
Jupiter,Ananke,0.0020,14,2.6,19.1R,0.04
Jupiter,Leda,0.00073,10,2.6,19.2R,0.04
Jupiter,Thebe,0.10,49.3,3.0,16.0,0.047
Jupiter,Adrastea,0.0005,8.2,3.0,18.7,0.1
Jupiter,Metis,0.008,21.5,3.0,17.5,0.061
Jupiter,Callirrhoe,0.000058,4.3,2.6,20.8R,0.04
Jupiter,Themisto,0.000046,4.0,2.6,21.0R,0.04
Jupiter,Megaclite,0.000014,2.7,2.6,21.7R,0.04
Jupiter,Taygete,0.000011,2.5,2.6,21.9R,0.04
Jupiter,Chaldene,0.000005,1.9,2.6,22.5R,0.04
Jupiter,Harpalyke,0.000008,2.2,2.6,22.2R,0.04
Jupiter,Kalyke,0.000013,2.6,2.6,21.8R,0.04
Jupiter,Iocaste,0.000013,2.6,2.6,21.8R,0.04
Jupiter,Erinome,0.000003,1.6,2.6,22.8R,0.04
Jupiter,Isonoe,0.000005,1.9,2.6,22.5R,0.04
Jupiter,Praxidike,0.000029,3.4,2.6,21.2R,0.04
Jupiter,Autonoe,0.000006,2.0,2.6,22.0R,0.04
Jupiter,Thyone,0.000006,2.0,2.6,22.3R,0.04
Jupiter,Hermippe,0.000006,2.0,2.6,22.1R,0.04
Jupiter,Aitne,0.000003,1.5,2.6,22.7R,0.04
Jupiter,Eurydome,0.000003,1.5,2.6,22.7R,0.04
Jupiter,Euanthe,0.000003,1.5,2.6,22.8R,0.04
Jupiter,Euporie,0.000001,1.0,2.6,23.1R,0.04
Jupiter,Orthosie,0.000001,1.0,2.6,23.1R,0.04
Jupiter,Sponde,0.000001,1.0,2.6,23.0R,0.04
Jupiter,Kale,0.000001,1.0,2.6,23.0R,0.04
Jupiter,Pasithee,0.000001,1.0,2.6,23.2R,0.04
Jupiter,Hegemone,0.000003,1.5,2.6,22.8R,0.04
Jupiter,Mneme,0.000001,1.0,2.6,23.3R,0.04
Jupiter,Aoede,0.000006,2.0,2.6,22.5R,0.04
Jupiter,Thelxinoe,0.000001,1.0,2.6,23.5R,0.04
Jupiter,Arche,0.000003,1.5,2.6,22.8R,0.04
Jupiter,Kallichore,0.000001,1.0,2.6,23.7R,0.04
Jupiter,Helike,0.000006,2.0,2.6,22.6R,0.04
Jupiter,Carpo,0.000003,1.5,2.6,23.0R,0.04
Jupiter,Eukelade,0.000006,2.0,2.6,22.6R,0.04
Jupiter,Cyllene,0.000001,1.0,2.6,23.2R,0.04
Jupiter,Kore,0.000001,1.0,2.6,23.6R,0.04
Jupiter,Herse,0.000001,1.0,2.6,23.4R,0.04
Jupiter,S/2000 J11,0.000001,1.0,2.6,22.4R,0.04
Jupiter,S/2003 J2,0.000001,1.0,2.6,23.2R,0.04
Jupiter,S/2003 J3,0.000001,1.0,2.6,23.4R,0.04
Jupiter,S/2003 J4,0.000001,1.0,2.6,23.0R,0.04
Jupiter,S/2003 J5,0.000006,2.0,2.6,22.4R,0.04
Jupiter,S/2003 J9,0.0000001,0.5,2.6,23.7R,0.04
Jupiter,S/2003 J10,0.000001,1.0,2.6,23.6R,0.04
Jupiter,S/2003 J12,0.0000001,0.5,2.6,23.9R,0.04
Jupiter,S/2003 J15,0.000001,1.0,2.6,23.5R,0.04
Jupiter,S/2003 J16,0.000001,1.0,2.6,23.3R,0.04
Jupiter,S/2003 J18,0.000001,1.0,2.6,23.4R,0.04
Jupiter,S/2003 J19,0.000001,1.0,2.6,23.7R,0.04
Jupiter,S/2003 J23,0.000001,1.0,2.6,23.6R,0.04
